Z	Symbol	Kesc	rel int	Ka	rel int	Ka1	rel int	Ka2	rel int	Kb	rel int	Kb1	rel int	Kb3	rel int	Kb2	rel int	Lesc	rel int	La	rel int	Lb1	rel int	Lb2	rel int	Lg1	rel int	Lg2	rel int	Lg3	rel int	Lg4	rel int	Ll	rel int	Ma esc	rel int	MZ	rel int	???	rel int	Ma1	rel int	Mb1	rel int	MG	rel int	MN	rel int	???	rel int
	Rel Int	0	0	100	100	100	100			100	100	~20		0		~2-5						52-69		7.0-26		2.0-14.0								2.0-14				15		2		100		50		5		4			
1	H	0	0	0	100	0	100	0	0	0	100	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
2	He	0	0	0	100	0	100	0	0	0	100	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
3	Li	0	0	0.052	100	0.0543	150	0.0543	150	0	100	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
4	Be	0	0	0.11	100	0.1085	150	0.1085	150	0	100	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
5	B	0	0	0.185	100	0.1833	151	0.1833	151	0	100	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
6	C	0	0	0.282	100	0.277	147	0.277	147	0	100	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
7	N	0	0	0.392	100	0.3924	150	0.3924	150	0	100	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
8	O	0	0	0.523	100	0.5249	151	0.5249	151	0	100	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
9	F	0	0	0.677	100	0.6768	148	0.6768	148	0	100	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
10	Ne	0	0	0.851	100	0.8486	150	0.8486	150	0	100	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
11	Na	0	0	1.041	100	1.041	100	1.041	0	1.071	100	1.067	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
12	Mg	0	0	1.254	100	1.253	100	1.254	0	1.302	100	1.297	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
13	Al	0	0	1.487	100	1.486	100	1.486	50	1.557	100	1.553	1	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
14	Si	0	0	1.74	100	1.74	100	1.739	50	1.838	100	1.832	2	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
15	P	0.275	0	2.015	100	2.013	100	2.014	50	2.142	100	2.136	3	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
16	S	0.567	0	2.307	100	2.307	100	2.306	50	2.468	100	2.464	25	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
17	Cl	0.882	0	2.622	100	2.622	100	2.621	50	2.817	100	2.815	25	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
18	Ar	1.217	0	2.957	100	2.957	100	2.955	50	3.191	100	3.192	25	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
19	K	1.572	0	3.312	100	3.313	100	3.31	50	3.589	100	3.589	23	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
20	Ca	1.95	0	3.69	100	3.691	100	3.688	50	4.012	100	4.012	23	0	0	0	0	0		0.341		0.344		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
21	Sc	2.348	0	4.088	100	4.09	100	4.085	50	4.459	100	4.46	23	0	0	0	0	0		0.395		0.399		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
22	Ti	2.768	0	4.508	100	4.51	100	4.504	50	4.931	100	4.931	21	0	0	0	0	0		0.452		0.458		0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
23	V	3.209	0	4.949	100	4.951	100	4.944	50	5.427	100	5.427	21	0	0	0	0	0		0.51	111	0.519	80	0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
24	Cr	3.671	0	5.411	100	5.414	100	5.405	50	5.947	100	5.946	21	0	0	0	0	0		0.571	111	0.581	79	0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
25	Mn	4.155	0	5.895	100	5.898	100	5.887	50	6.492	100	6.49	21	0	0	0	0	0		0.636	111	0.647	77	0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
26	Fe	4.66	0	6.4	100	6.403	100	6.39	50	7.059	100	7.057	21	0	0	0	0	0		0.704	111	0.717	66	0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
27	Co	5.185	0	6.925	100	6.929	100	6.915	51	7.649	100	7.649	21	0	0	0	0	0		0.775	111	0.79	76	0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
28	Ni	5.732	0	7.472	100	7.477	100	7.46	51	8.265	100	8.264	21	0	0	8.328	0	0		0.849	111	0.866	68	0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
29	Cu	6.301	0	8.041	100	8.046	100	8.027	51	8.907	100	8.904	21	0	0	8.976	0	0		0.928	111	0.948	65	0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
30	Zn	6.891	0	8.631	100	8.637	100	8.615	51	9.572	100	9.571	21	0	0	9.657	0	0		1.009	111	1.032	65	0		0		0		0		0		0		0		0		0		0		0		0		0		0	0
